locations,count,rate,date,lat,lon
City of Agoura Hills,18,85.03,2020-04-05T00:00:00Z,34.1533395,-118.7616764
City of Alhambra,21,24.22,2020-04-05T00:00:00Z,34.095287,-118.1270146
City of Arcadia,14,24.56,2020-04-05T00:00:00Z,34.1397292,-118.0353449
City of Artesia,NA,NA,2020-04-05T00:00:00Z,33.8658484,-118.0831212
City of Avalon,0,0,2020-04-05T00:00:00Z,33.3428193,-118.3282279
City of Azusa,13,26.27,2020-04-05T00:00:00Z,34.1336186,-117.9075627
City of Baldwin Park,10,13.43,2020-04-05T00:00:00Z,34.0852868,-117.9608978
City of Bell,20,54.65,2020-04-05T00:00:00Z,33.9775142,-118.1870156
City of Bell Gardens,12,28.03,2020-04-05T00:00:00Z,33.9652918,-118.1514588
City of Bellflower,32,42.07,2020-04-05T00:00:00Z,33.8816818,-118.1170117
City of Beverly Hills,65,187.58,2020-04-05T00:00:00Z,34.0736204,-118.4003563
City of Bradbury,0,0,2020-04-05T00:00:00Z,34.1469511,-117.9708982
City of Burbank,70,66.86,2020-04-05T00:00:00Z,34.1808392,-118.3089661
City of Calabasas,20,82.7,2020-04-05T00:00:00Z,34.1367208,-118.6614809
City of Carson,83,88.54,2020-04-05T00:00:00Z,33.8316745,-118.281693
City of Cerritos,20,40.61,2020-04-05T00:00:00Z,33.8583483,-118.0647871
City of Claremont,5,13.84,2020-04-05T00:00:00Z,34.0966764,-117.7197785
City of Commerce,0,0,2020-04-05T00:00:00Z,34.0005691,-118.1597929
City of Compton,34,33.68,2020-04-05T00:00:00Z,33.8958492,-118.2200712
City of Covina,18,36.64,2020-04-05T00:00:00Z,34.0900091,-117.8903397
City of Cudahy,15,61.16,2020-04-05T00:00:00Z,33.9608646,-118.1857858
City of Culver City,26,64.43,2020-04-05T00:00:00Z,34.0211224,-118.3964665
City of Diamond Bar,12,21.01,2020-04-05T00:00:00Z,34.0286226,-117.8103367
City of Downey,68,59.75,2020-04-05T00:00:00Z,33.9401088,-118.1331593
City of Duarte,NA,NA,2020-04-05T00:00:00Z,34.1394513,-117.9772873
City of El Monte,18,15.83,2020-04-05T00:00:00Z,34.0686206,-118.0275667
City of El Segundo,7,42.22,2020-04-05T00:00:00Z,33.9191799,-118.4164652
City of Gardena,30,49.44,2020-04-05T00:00:00Z,33.8883487,-118.3089624
City of Glendale,129,63.99,2020-04-05T00:00:00Z,34.1425078,-118.255075
City of Glendora,14,26.8,2020-04-05T00:00:00Z,34.1361187,-117.865339
City of Hawaiian Gardens,NA,NA,2020-04-05T00:00:00Z,33.8314045,-118.0728424
City of Hawthorne,39,44.43,2020-04-05T00:00:00Z,33.9164032,-118.3525748
City of Hermosa Beach,17,86.25,2020-04-05T00:00:00Z,33.8622366,-118.3995194
City of Hidden Hills,0,0,2020-04-05T00:00:00Z,34.1648798,-118.6647537
City of Huntington Park,26,43.69,2020-04-05T00:00:00Z,33.9816812,-118.2250725
City of Industry,NA,NA,2020-04-05T00:00:00Z,34.0197335,-117.9586754
City of Inglewood,69,59.3,2020-04-05T00:00:00Z,33.9616801,-118.3531311
City of Irwindale,0,0,2020-04-05T00:00:00Z,34.1069527,-117.9353413
City of La Canada Flintridge,14,68.32,2020-04-05T00:00:00Z,34.2068182,-118.2000277
City of La Habra Heights,0,0,2020-04-05T00:00:00Z,33.9608461,-117.9506186
City of La Mirada,15,30.32,2020-04-05T00:00:00Z,33.9172357,-118.0120086
City of La Puente,12,29.72,2020-04-05T00:00:00Z,34.0200114,-117.9495083
City of La Verne,7,21.14,2020-04-05T00:00:00Z,34.1008426,-117.7678355
City of Lakewood,29,37.09,2020-04-05T00:00:00Z,33.8536269,-118.1339563
City of Lancaster,51,32.57,2020-04-05T00:00:00Z,34.6867846,-118.1541632
City of Lawndale,13,38.95,2020-04-05T00:00:00Z,33.887237,-118.3525744
City of Lomita,9,44.53,2020-04-05T00:00:00Z,33.7922392,-118.3150722
City of Lynwood,37,51.25,2020-04-05T00:00:00Z,33.930293,-118.2114603
City of Malibu,8,63.15,2020-04-05T00:00:00Z,34.0259216,-118.7797571
City of Manhattan Beach,46,130.79,2020-04-05T00:00:00Z,33.8847361,-118.4109089
City of Maywood,15,53.33,2020-04-05T00:00:00Z,33.9866807,-118.185349
City of Monrovia,11,29.36,2020-04-05T00:00:00Z,34.1442616,-118.0019482
City of Montebello,17,26.67,2020-04-05T00:00:00Z,34.0165053,-118.1137535
City of Monterey Park,15,24.54,2020-04-05T00:00:00Z,34.0625106,-118.1228476
City of Norwalk,49,46.73,2020-04-05T00:00:00Z,33.9022367,-118.081733
City of Palmdale,37,23.17,2020-04-05T00:00:00Z,34.5794343,-118.1164613
City of Palos Verdes Estates,23,168.29,2020-04-05T00:00:00Z,33.8005714,-118.3900737
City of Paramount,23,40.91,2020-04-05T00:00:00Z,33.8894598,-118.1597911
City of Pico Rivera,31,48.4,2020-04-05T00:00:00Z,33.9830688,-118.096735
City of Pomona,24,15.46,2020-04-05T00:00:00Z,34.055103,-117.7499909
City of Rancho Palos Verdes,28,65.26,2020-04-05T00:00:00Z,33.7444613,-118.3870173
City of Redondo Beach,64,92.33,2020-04-05T00:00:00Z,33.8491816,-118.3884078
City of Rolling Hills,NA,NA,2020-04-05T00:00:00Z,33.7569615,-118.3539613
City of Rolling Hills Estates,8,100.06,2020-04-05T00:00:00Z,33.7877943,-118.3581284
City of Rosemead,8,14.53,2020-04-05T00:00:00Z,34.0805651,-118.072846
City of San Dimas,9,26.46,2020-04-05T00:00:00Z,34.1066756,-117.8067257
City of San Fernando,9,36.79,2020-04-05T00:00:00Z,34.2819461,-118.4389719
City of San Gabriel,10,24.81,2020-04-05T00:00:00Z,34.0961111,-118.1058333
City of San Marino,5,36.99,2020-04-05T00:00:00Z,34.121397,-118.1064585
